Identifier,APA Citation,Title,Orientation,Primary Pattern(s) / Pathway(s),Domain Categories,Pipeline Stage,Pipeline Sub-stage,Historical Era,Triange coverage (AI + data production + community impacts),Rationale,Source type,How source was found,Keywords,Geographic region of focus,"Author affiliations (majority grouping if multiple, full details in note on positionality)",Geographic area of author (lead author if multiple),"Institution / Country
(lead author)",Authorship & positionality context,Summary,Additional Notes
"Suresh et al., 2024","Suresh, H., Tseng, E., Young, M., Gray, M., Pierson, E., & Levy, K. (2024). Participation in the age of foundation models. The 2024 ACM Conference on Fairness, Accountability, and Transparency, 1609–1621. https://doi.org/10.1145/3630106.3658992",Participation in the age of foundation models,Principles less-extractive,Early co-design and participatory initiatives,Community impacts and relations,Cross-pipeline,Cross-pipeline,Era 3,ADC,A: examines participatory constraints in foundation models; D: conceptualizes layered governance for data/model pipelines; C: considers communities’ limited influence and possible interventions.,"Grey (Reports, blogs, white papers, policy documents, theses, conference papers)",Hand-searching key journals,global; foundation model; governance; participation,Not regionally specific,Mixed,North America,"Cornell Tech, USA","Microsoft Research, Data & Society Research Institute, USA; Cornell University, USA","Reviews participation in foundation model development, identifying “participatory ceiling.” Case studies in healthcare, journalism, and finance show barriers due to scale and general-purpose scope. Proposes three-tier blueprint: foundation (base models), subfloor (domain governance), surface (applications). Framework illustrates how communities may shape governance and mitigate risks, embedding equity despite scale.",
"Tacheva & Ramasubramanian, 2023","Tacheva, Z., & Ramasubramanian, S. (2023). Challenging AI Empire: Toward a Decolonial and Queer Framework of Data Resurgence. Advance. https://advance.sagepub.com/doi/full/10.31124/advance.22012724.v1",Challenging AI Empire: Toward a Decolonial and Queer Framework of Data Resurgence,Principles less-extractive,"Participatory data ownership & governance, Decentering Western ontologies","Community impacts and relations, Data practices",Cross-pipeline,Cross-pipeline,Era 3,ADC,A: discusses implications of scale-first AI for minority languages; D: contrasts corporate vs. community data production models; C: centers Māori sovereignty and benefit alignment in language data.,"Grey (Reports, blogs, white papers, policy documents, theses, conference papers)",Database search,data colonialism; governance; queer/Indigenous praxis,Not regionally specific,Academic,North America,"Syracuse University, USA",,"Introduces the concept of “AI Empire,” which is driven by hegemony, extractivism, surveillance, and subjugation, manifesting in issues like data colonialism, data commodification, biometric profiling, and technological apartheid. They contend that reforming AI within this existing framework offers only superficial solutions. Instead, the authors propose a “Data Resurgence Framework,” drawing upon Indigenous, decolonial, and queer perspectives. Grounded in the principles of anti-coloniality, relationality, sovereignty, and liberatory praxis.",
"Taylor, 2017","Taylor, L. (2017). What is data justice? The case for connecting digital rights and freedoms globally. Big Data & Society, 4(2), 205395171773633. https://doi.org/10.1177/2053951717736335",What is data justice? The case for connecting digital rights and freedoms globally,Principles less-extractive,Participatory data ownership & governance,"Ethics frameworks, Community impacts and relations",Cross-pipeline,Cross-pipeline,Era 2,DC,"A: none (conceptual, not AI-specific); D: proposes data justice pillars for governance; C: connects rights, representation, and agency","White (published journal papers, conference proceedings, books)",Database search,"Data justice, digital rights, data privacy, data governance, social justice",Not regionally specific,Academic,EU/UK,"Tilburg Institute for Law, Techonology, and Society, Netherlands",,"Outlines concept of ""data justice"" as a crucial framework for addressing the ethical and societal implications of the ever-growing influence of digital data. The author, Linnet Taylor, contends that current frameworks, primarily focused on individual rights and data protection, are insufficient in the face of the increasingly complex and globalized landscape of data collection and analysis. The paper outlines the interconnected problems of data-driven discrimination, the rise of ""dataveillance,"" and the blurring of lines between public and private sector use of data. It proposes a three-pillar framework for data justice: visibility (including representation and privacy), digital (dis)engagement (encompassing the freedom to opt out of data collection and the power to control data-generating technologies), and countering data-driven discrimination. Taylor argues for a broader conceptualization of justice that extends beyond individual rights and incorporates the capabilities approach, which emphasizes both opportunity freedoms (access to valuable resources and opportunities) and process freedoms (agency and the ability to participate in decisions affecting one's data)",
"Te Hiku Media, n.d.","Te Hiku Media. (n.d.). Kaitiakitanga-License/papareo_api.md at tumu · TeHikuMedia/Kaitiakitanga-License [Dataset]. Retrieved September 1, 2025, from https://github.com/TeHikuMedia/Kaitiakitanga-License/blob/tumu/papareo_api.md 
",TeHikuMedia/Kaitiakitanga-License,Practices less-extractive,Developing equitable data licensing models,"Data practices, Community impacts and relations",ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,A: frames data/model/tool stewardship via kaitiakitanga; D: sets license terms aligned with Māori tikanga; C: protects mana and prioritizes Indigenous benefit,"Grey (Reports, blogs, white papers, policy documents, theses, conference papers)",Citation/reference snowballing,Oceania; licensing; NLP tools; tikanga; Indigenous stewardship,Oceania,NGO/Non-profit,Oceania,"Te Reo Irirangi o Te Hiku o Te Ika (Te Hiku Media), Aotearoa New Zealand",https://www.temanararaunga.maori.nz/,"Establishes a living license grounded in Māori concepts of guardianship to govern access to data, derived models, and tools (e.g., Papa Reo API). Conditions access on alignment with tikanga to prevent digital colonization and support Indigenous innovation and control.",
"Teixeira da Silva, 2022","Teixeira da Silva, J. A. (2022). Handling Ethics Dumping and Neo-Colonial Research: From the Laboratory to the Academic Literature. Journal of Bioethical Inquiry, 19(3), 433–443. https://doi.org/10.1007/s11673-022-10191-x",Handling Ethics Dumping and Neo-Colonial Research: From the Laboratory to the Academic Literature,Extractive,Ethics dumping in less-regulated contexts,"Critical theory/Historical background, Community impacts and relations",ML System Design & Development,"Data Selection, Collection & Annotation",Multi-era,DC,A: none; D: examines research exploitation across genomics and biobanking; C: focuses on protecting Indigenous populations from research exploitation,"White (published journal papers, conference proceedings, books)","Existing networks, relevant organizations and conferences","ethics dumping, Indigenous rights, research exploitation",Not regionally specific,Journalist/Other/Not Sure,APAC (Asia-Pacific Region),"Independent researcher, Japan",,"Investigates ethics dumping where researchers from higher-income countries exploit vulnerabilities in lower-income contexts to conduct unethical research. Provides examples across biobanking, genomics, and GMO research highlighting power imbalances. Proposes stricter journal verification requiring proof of informed consent, human rights compliance, and transparent documentation of Indigenous rights protections.",
"Thatcher et al., 2016","Thatcher, J., O’Sullivan, D., & Mahmoudi, D. (2016). Data colonialism through accumulation by dispossession: New metaphors for daily data. Environment and Planning D: Society and Space, 34(6), 990–1006. https://doi.org/10.1177/0263775816633195",Data colonialism through accumulation by dispossession: New metaphors for daily data,Extractive,Collecting vast amounts of data to train AI systems,Critical theory/Historical background,ML System Design & Development,"Data Selection, Collection & Annotation",Multi-era,DC,"A: none (indirect implications); D: conceptualizes everyday data capture and licensing as “accumulation by dispossession”; C: argues dispossession commodifies subjects and concentrates control, producing social harms and governance concerns","White (published journal papers, conference proceedings, books)",Iterative keyword search,USA/Global South; data colonialism; accumulation by dispossession,Not regionally specific,Academic,North America,"University of Washington, Tacoma, USA","University of California, Berkeley, USA; Portland State University, USA
","Develops “data colonialism” as a metaphor for how everyday technologies extract value by dispossessing individuals of their data through opaque terms and infrastructures. Links routine capture to prediction and control in digital markets. The framework clarifies how large-scale dataset creation and reuse enable commodification and governance over subjects, informing critiques of AI systems dependent on such corpora.",
"The Tierra Común Network, 2023",The Tierra Común Network. (2023). Resisting Data Colonialism: A Practical Intervention (INC Theory on Demand #50). Institute of Network Cultures. https://networkcultures.org/wp-content/uploads/2023/12/ResistingDataColonialism_INC2023_TOD50.pdf,Resisting Data Colonialism: A Practical Intervention,Extractive,Collecting vast amounts of data to train AI systems,"Critical theory/Historical background, Community impacts and relations",Problem Understanding & Formulation,Institutional Prioritization & Funding,Era 3,DC,A: none; D: theorizes and documents data colonialism and extraction infrastructures; C: catalogs grassroots resistance and community strategies in Latin America and beyond,"Grey (Reports, blogs, white papers, policy documents, theses, conference papers)",Citation/reference snowballing,LatAm; data colonialism; matrix of power; resistance,"LatAm (includes Central America, South America & Carribbean)",Mixed,"LatAm (includes Central America, South America & Carribbean)","London School of Economics, UK; Tierra Comun Network, global coalition LatAm focused","Tierra Común brings together activists, citizens and scholars who want data to be decolonized. Our specific focus is Latin America, but our horizon is the Global South, and everyone anywhere who rejects data colonialism as the latest manifestation in modernity of the Global North’s desire for domination.","Defines data colonialism as pervasive extraction by firms and states, mapping a “matrix of power” that reproduces inequalities of race, gender, and class. Compiles practical pathways of resistance—organizing, consent infrastructures, legal strategies—grounded in Latin American experiences with relevance to the Global South. Links extractive data practices to lived harms and proposes community-centered countermeasures to reassert control over data lifeworlds.",
"Theodorou et al., 2021","Theodorou, L., Massiceti, D., Zintgraf, L., Stumpf, S., Morrison, C., Cutrell, E., Harris, M. T., & Hofmann, K. (2021). Disability-first Dataset Creation: Lessons from Constructing a Dataset for Teachable Object Recognition with Blind and Low Vision Data Collectors. Proceedings of the 23rd International ACM SIGACCESS Conference on Computers and Accessibility, 1–12. https://doi.org/10.1145/3441852.3471225",Disability-first Dataset Creation: Lessons from Constructing a Dataset for Teachable Object Recognition with Blind and Low Vision Data Collectors,Practices less-extractive,Creating culturally inclusive datasets,"Data practices, Community impacts and relations",ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,"A: applies teachable object recognition for assistive AI; D: develops a video-based, community-oriented data collection procedure; C: centers blind/low-vision collectors’ needs and agency","White (published journal papers, conference proceedings, books)",Database search,"teachable object recognition, disability-first dataset, blind and low vision",Not regionally specific,Mixed,EU/UK,"Centre for HCI Design City, University of London, United Kingdom","Microsoft Research, United Kingdom; University of Oxford, United Kingdom; Centre for HCI Design City, University of London, United Kingdom; Microsoft Research, USA","Multidisciplinary team co-developed a dataset for teachable object recognition with blind/low-vision participants as data collectors. Method emphasizes video capture over still images to increase example quality and reduce burden. Iterative phases refined guidance, validation, and risk mitigation. Findings show disability-first procedures improve relevance, control, and downstream model utility for assistive AI. Paper contributes a practical protocol and reflexive questions for inclusive dataset creation.",
"Timcke, 2024","Timcke, Scott. (2024, July 11). AI and the digital scramble for Africa. Review of African Political Economy. https://roape.net/2024/07/11/ai-and-the-digital-scramble-for-africa/ 
","AI and the digital scramble for Africa
",Extractive,Ethics dumping in less-regulated contexts,"Community impacts and relations, Critical theory/Historical background",Deployment & Impact,Product Launch,Era 3,ADC,"A: analyzes implications of AI for African governance and democracy; D: critiques extractive practices in data, labor, and resources; C: centers African institutions, civil society, and worker protections","Grey (Reports, blogs, white papers, policy documents, theses, conference papers)",Iterative keyword search,"Africa, AI, digital colonialism, data governance",Africa,Mixed,Africa,ROAPE team (group of scholars and activists in the UK and Africa),,"Examines how AI development in Africa intersects with histories of colonial exploitation and contemporary neoliberal policies. Discusses mineral extraction, data monopolization, and precarious digital labor as forms of a “digital scramble.” Highlights African universities, think tanks, and the African Union as actors shaping democratic responses. Calls for stronger labor protections, regional cooperation, and governance frameworks to resist digital colonialism and ensure communities retain benefits from AI and data infrastructures",
"Timko et al., 2023","Timko, C., Niederstadt, M., Goel, N., & Faltings, B. (2023). Incentive Mechanism Design for Responsible Data Governance: A Large-scale Field Experiment. J. Data and Information Quality, 15(2), 16:1-16:18. https://doi.org/10.1145/3592617",Incentive Mechanism Design for Responsible Data Governance: A Large-scale Field Experiment,Practices less-extractive,Establishing consent and contextually appropriate compensation,Data practices,ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,AD,A: builds trustworthy AI applications from fitness data; D: tests incentive-compatible mechanisms for quality data collection; C: none (indirect implications),"White (published journal papers, conference proceedings, books)",Citation/reference snowballing,"fitness data, incentive mechanisms, data quality",Not regionally specific,Academic,EU/UK,"Ruhr-Universität Bochum, Germany","University of Oxford, Oxford, UK; EPFL, Lausanne, Switzerland","Tests incentive schemes for contributed fitness data (N=691), finding peer-based, incentive-compatible mechanisms elicit high-quality data with good user experience. Provides actionable guidance for data-collection governance relevant to AI datasets dependent on volunteered personal signals.",
"Tonja et al., 2024","Tonja, A. L., Dossou, B. F. P., Ojo, J., Rajab, J., Thior, F., Wairagala, E. P., Aremu, A., Moiloa, P., Abbott, J., Marivate, V., & Rosman, B. (2024). InkubaLM: A small language model for low-resource African languages (No. arXiv:2408.17024). arXiv. https://doi.org/10.48550/arXiv.2408.17024 
",InkubaLM: A small language model for low-resource African languages,Practices less-extractive,Creating culturally inclusive datasets,"Data practices, Community impacts and relations",ML System Design & Development,Model Training & Evaluation,Era 3,ADC,"A: presents a new LM + evaluations; D: dataset curation/training pipeline for low-resource langs; C: positions benefits for African language communities (access, openness)","Grey (Reports, blogs, white papers, policy documents, theses, conference papers)","Existing networks, relevant organizations and conferences","Africa, low resource languages, small models, model evaluation",Africa,Mixed,Multiple areas,"Lelapa AI, South AFrica; MBZUAI, UAE; McGill University & Mila Quebec AI Institute, Canada","DSFSI - University of Pretoria; RAIL Lab - University of the Witwatersrand, South Africa","Presents InkubaLM (≈0.4B parameters) targeting under-resourced African languages. Reports competitive performance on machine translation, sentiment, and QA with transparent data curation and training pipeline. Argues smaller, open models plus locally relevant corpora can expand access, reduce compute barriers, and better serve African language communities than monolithic, externally trained systems.",
"Truong et al., 2024","Truong, S., Nguyen, D., Nguyen, T., Le, D., Truong, N., Quan, T., & Koyejo, S. (2024). Crossing Linguistic Horizons: Finetuning and Comprehensive Evaluation of Vietnamese Large Language Models. In K. Duh, H. Gomez, & S. Bethard (Eds.), Findings of the Association for Computational Linguistics: NAACL 2024 (pp. 2849–2900). Association for Computational Linguistics. https://doi.org/10.18653/v1/2024.findings-naacl.182",Crossing Linguistic Horizons: Finetuning and Comprehensive Evaluation of Vietnamese Large Language Models,Practices less-extractive,Creating culturally inclusive datasets,Data practices,ML System Design & Development,Model Training & Evaluation,Era 3,ADC,A: fine-tunes and evaluates LLMs for Vietnamese; D: builds benchmark datasets and metrics; C: addresses exclusion of Vietnamese speakers in multilingual AI,"White (published journal papers, conference proceedings, books)",Citation/reference snowballing,"Vietnam, large language models, finetuning, benchmarks, inclusion",APAC (Asia-Pacific Region),Academic,APAC (Asia-Pacific Region),"Stanford University, USA; Ho Chi Minh City University of Technology, VNU-HCM, Vietnam",first four authors equal contribution,"Presents Vietnamese-specific finetuning and a 10-task, 31-metric evaluation suite. Shows cross-lingual transfer benefits but also bias/uncalibrated outputs in larger models. Emphasizes dataset quality as the primary driver of performance, motivating targeted finetuning and rigorous benchmarks to improve access and reliability for Vietnamese speakers.",
"Tsing, 2012","Tsing, A. L. (2012). On nonscalability: The living world is not amenable to precision-nested scales. Common knowledge, 18(3), 505-524. https://doi.org/10.1215/0961754X-1630424","On Nonscalability: The Living World Is Not Amenable to Precision-Nested
Scales",Extractive,Collecting vast amounts of data to train AI systems,Critical theory/Historical background,Problem Understanding & Formulation,Product Conception & Design,Multi-era,DC,A: none; D: critiques scalability projects that render worlds static for expansion; C: traces social–ecological ruins left by scalability logics,"White (published journal papers, conference proceedings, books)",Citation/reference snowballing,scalability; model; colonial construct; nonscalability,Not regionally specific,Academic,North America,"University of California, Santa Cruz, USA",,"Develops “nonscalability theory,” arguing scalable projects require coercive simplifications that erase context and difference. Historicizes plantation logics as templates for later scalability regimes. Offers a lens to interrogate data accumulation and modeling practices that privilege expansion over situatedness, highlighting the social and ecological debris scalability leaves behind.",
"Tubaro et al., 2025","Tubaro, P., Casilli, A. A., Cornet, M., Ludec, C. L., & Cierpe, J. T. (2025). Where does AI come from? A global case study across Europe, Africa, and Latin America. https://doi.org/10.1080/13563467.2025.2462137","Where does AI come from? A global case study across Europe, Africa, and Latin America",Extractive,Keeping communities in the dark through opaque data practices,"Data labor, Community impacts and relations",ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,A: maps global data-work supply chains; D: reveals platformized procurement and firm-like arrangements; C: documents precarity and North–South inequalities,"White (published journal papers, conference proceedings, books)",Citation/reference snowballing,AI supply chain; data work; platform economy,Not regionally specific,Academic,EU/UK,"Institut Polytechnique de Paris, France","National Centre for Scientific Research (CNRS) and National School of Economics and Statistics (ENSAE), France; Telecom Paris, the telecommunication school of the Polytechnic Institute of Paris, and the Interdisciplinary Institute on Innovation (i3), France;. Telecom Paris, France; CERSA, Université Paris-Panthéon-Assas, France; LaborIA, Inria, France","Traces AI’s human supply chains across France, Madagascar, and Venezuela. Shows how platform marketplaces and intermediaries source annotation and moderation under precarious conditions. Illuminates opacity around sourcing and accountability, linking data-work organization to persistent inequality in AI production.",
"Tuck & Yang, 2012","Tuck, E., & Yang, K. W. (2012). Decolonization is not a metaphor. Decolonization: Indigeneity, Education & Society, 1(1), Article 1. https://jps.library.utoronto.ca/index.php/des/article/view/18630",Decolonization is not a metaphor,Principles less-extractive,Other/NA (conceptual framing),Critical theory/Historical background,Problem Understanding & Formulation,Product Conception & Design,Multi-era,C,A: none; D: critiques metaphorical uses of “decolonization” that obscure land and resource return; C: centers Indigenous sovereignty and futurity as irreducible commitments.,"White (published journal papers, conference proceedings, books)",Database search,settler colonialism; decolonization; indigenous sovereignty,Not regionally specific,Academic,North America,"State University of New York, USA",,"Argues that decolonization, the repatriation of Indigenous land and life, is frequently misused as a metaphor for other social justice projects. The authors contend that settler colonialism, with its unique structure of settler-native-slave relations, requires a distinct approach to decolonization that moves beyond metaphorical interpretations. They illustrate how the metaphorization of decolonization enables “settler moves to innocence,” strategies employed by settlers to alleviate guilt without relinquishing land or power. These moves, including settler nativism and adoption fantasies, perpetuate the erasure of Indigenous peoples and the perpetuation of settler colonialism. Tuck and Yang urge a shift from reconciliation to an “ethic of incommensurability,” acknowledging the irreconcilable differences between settler colonialism and other struggles, and emphasizing the need for decolonization to center Indigenous sovereignty and futurity.",
"Üstün et al., 2024","Üstün, A., Aryabumi, V., Yong, Z., Ko, W.-Y., D’souza, D., Onilude, G., Bhandari, N., Singh, S., Ooi, H.-L., Kayid, A., Vargus, F., Blunsom, P., Longpre, S., Muennighoff, N., Fadaee, M., Kreutzer, J., & Hooker, S. (2024). Aya Model: An Instruction Finetuned Open-Access Multilingual Language Model. In L.-W. Ku, A. Martins, & V. Srikumar (Eds.), Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers) (pp. 15894–15939). Association for Computational Linguistics. https://doi.org/10.18653/v1/2024.acl-long.845 
",Aya Model: An Instruction Finetuned Open-Access Multilingual Language Model,Practices less-extractive,Creating culturally inclusive datasets,"Data practices, Community impacts and relations",ML System Design & Development,Model Training & Evaluation,Era 3,ADC,A: presents open multilingual instruction-tuned LLM; D: compiles diverse multilingual instruction data; C: broadens access for low-resource languages,"White (published journal papers, conference proceedings, books)",Database search,global; multilingual LLM; instruction tuning; openness,Multiple areas,Mixed,Multiple areas,"Cohere For AI, Canada","Cohere For AI; Brown University; Cohere; Cohere For AI Community; Carnegie Mellon University; MIT, USA","Develops Aya, a massively multilingual instruction-tuned LLM covering 101 languages (over half low-resourced). Methods include new evaluation suites across 99 languages, human assessments, and simulated win rates, plus analyses of finetuning-mix composition and data pruning. Findings show competitive gains over mT0/BLOOMZ with broader language coverage and measured bias/toxicity/safety. Links improved data/eval design to more inclusive AI performance and community impact across under-represented languages.",
"Vaani, n.d.","Vaani. (n.d.). Retrieved September 7, 2025, from https://vaani.iisc.ac.in/",Vaani,Practices less-extractive,"Community engaged data production, Creating culturally inclusive datasets","Community impacts and relations, Data practices",ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,"A: develops speech datasets for Indian languages; D: collects 150,000 hours of diverse speech data; C: supports inclusion and representation across India’s linguistic communities","Grey (Reports, blogs, white papers, policy documents, theses, conference papers)",Citation/reference snowballing,"India, speech datasets, linguistic diversity, digital inclusion",APAC (Asia-Pacific Region),NGO/Non-profit,APAC (Asia-Pacific Region),"IISc Bangalore; ARTPARK, India",,"Collects 150,000+ hours of natural speech from 1 million speakers across all Indian districts. Curates datasets with linguistic, urban-rural, gender, and age diversity. Open-sourced via Bhashini to support inclusive Digital India. Positions large-scale community-engaged collection as key to equitable speech AI.",
"Varoquaux et al., 2025","Varoquaux, G., Luccioni, A. S., & Whittaker, M. (2025). Hype, Sustainability, and the Price of the Bigger-is-Better Paradigm in AI (No. arXiv:2409.14160). arXiv. https://arxiv.org/abs/2409.14160v1","Hype, Sustainability, and the Price of the Bigger-is-Better Paradigm in AI ",Extractive,"Prioritizing data wants over community needs, Collecting vast amounts of data to train AI systems",Data practices,ML System Design & Development,Model Training & Evaluation,Era 3,AD,"A: critiques scaling assumptions driving data-hungry AI; D: analyzes compute, cost, and sustainability limits; C: none","White (published journal papers, conference proceedings, books)",Database search,scaling; sustainability; environment,Not regionally specific,Mixed,EU/UK,"Inria, Saclay, France","Equal-contribution note across Inria, Hugging Face, Signal, and U. Western Australia","Critically assesses the large-scale paradigm in AI. Shows compute and cost grow faster than performance, concentrating power and sidelining socially valuable problems. Links scaling incentives to resource-intensive data production and environmental burden, challenging assumptions that bigger datasets and models inherently yield better outcomes.",
"Vincent et al., 2021","Vincent, N., Li, H., Tilly, N., Chancellor, S., & Hecht, B. (2021). Data Leverage: A Framework for Empowering the Public in its Relationship with Technology Companies. Proceedings of the 2021 ACM Conference on Fairness, Accountability, and Transparency, 215–227. https://doi.org/10.1145/3442188.3445885",Data Leverage: A Framework for Empowering the Public in its Relationship with Technology Companies,Principles less-extractive,Participatory data ownership & governance,Ethics frameworks,Problem Understanding & Formulation,Product Conception & Design,Era 3,AD,"A: theorizes leverage over data-dependent AI systems; D: specifies levers (strikes, poisoning, contribution); C: none","White (published journal papers, conference proceedings, books)",Database search,user data; leverage; governance,Not regionally specific,Academic,North America,"Northwestern University, USA",,"Introduces the concept of “data leverage” to empower users in their relationship with powerful technology companies. Data leverage refers to the influence individuals have over tech companies due to these companies’ dependence on user-generated data. The authors identify three main “data levers” individuals can utilize: data strikes, which involve withholding or deleting data; data poisoning, which involves injecting inaccurate data to disrupt algorithms; and conscious data contribution, which involves providing data to competitors or alternative platforms. ",
"Wagner, 2017","Wagner, T. (2017, July 14). Fair Trade Data. Global Design Futures. https://medium.com/global-design-futures/fair-trade-data-db2bca6d08b9",Fair Trade Data. Global Design Futures,Principles less-extractive,Participatory data ownership & governance,Ethics frameworks,ML System Design & Development,"Data Selection, Collection & Annotation",Era 2,ADC,A: anticipates AI-relevant IoT data flows; D: proposes labeling/contracting for user-set terms; C: seeks transparency and user control,"Grey (Reports, blogs, white papers, policy documents, theses, conference papers)",Iterative keyword search,EU/UK; IoT data; labeling; user control,Not regionally specific,Industry,EU/UK,"Infarm, Germany",,"Explores the potential consequences of the burgeoning Internet of Things (IoT) on user privacy. Wagner argues that the increasing prevalence of internet-connected devices, while offering convenience, poses a significant threat to user privacy as companies collect vast amounts of personal data. He highlights several examples of data misuse and argues for greater transparency and user control over data collection practices. To combat these concerns, Wagner proposes “Fair Trade Data,” a hypothetical labeling system and service that empowers users to set their own data privacy preferences, compelling companies to comply with these terms for data usage. ",
"Walter et al., 2021","Walter, M., Kukutai, T., Carroll, S. R., & Rodriguez-Lonebear, D. (Eds.). (2021). Indigenous Data Sovereignty and Policy. Taylor & Francis. https://doi.org/10.4324/9780429273957",Indigenous Data Sovereignty and Policy,Principles less-extractive,Participatory data ownership & governance,"Critical theory/Historical background, Community impacts and relations",ML System Design & Development,"Data Selection, Collection & Annotation",Multi-era,DC,"A: none; D: conceptualizes IDS as framework for decolonizing data practices; C: emphasizes Indigenous-led control, methodologies, and cultural property","White (published journal papers, conference proceedings, books)",Database search,"global, Indigenous data sovereignty, decolonizing data practices",Oceania,Academic,Oceania,"University of Tasmania, Australia",,"Brings together global scholarship on Indigenous Data Sovereignty (IDS) as both movement and framework. Argues that data are not neutral and that statistics have historically reinforced colonial narratives. Proposes IDS as a means to decolonize data practices by embedding Indigenous governance, methodologies, and infrastructures. Highlights cultural property and community rights as central to data futures. Positions IDS as a pathway to self-determination through greater control over collection, interpretation, and use",
"Wanjawa et al., 2023","Wanjawa, B., Wanzare, L., Indede, F., McOnyango, O., Ombui, E., & Muchemi, L. (2023). Kencorpus: A Kenyan Language Corpus of Swahili, Dholuo and Luhya for Natural Language Processing Tasks. In C. Wartena (Ed.), Journal for Language Technology and Computational Linguistics, Vol. 36 No. 2 (pp. 1–27). German Society for Computational Lingustics and Language Technology. https://doi.org/10.21248/jlcl.36.2023.243 
","Kencorpus: A Kenyan Language Corpus of Swahili, Dholuo and Luhya for Natural Language Processing Tasks",Practices less-extractive,"Creating culturally inclusive datasets, Community engaged data production","Community impacts and relations, Data practices",ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,"A: addresses data scarcity for Kenyan languages in NLP; D: collects text and speech corpora with derived POS, QA, and MT sets; C: supports multilingual access and research","White (published journal papers, conference proceedings, books)",Database search,"Africa, Kenya; language corpus; text; speech",Africa,Academic,Africa,"Dept. of Computer Science, University of Nairobi, Kenya","Dept. of Computer Science, Maseno University, Kenya; Dept. of Kiswahili and Other African Languages, Maseno University, Kenya; Dept. of Computer Science, Africa Nazarene University, Kenya","A text and speech corpus covering Swahili, Dholuo, and Luhya. Researchers collected data from communities, schools, media, and publishers, producing 5.6 million words and 177 hours of audio, with derived POS, QA, and translation datasets. Baseline experiments demonstrate usability for ASR and question answering, while challenges included cleaning, resource limitations, and pandemic constraints. The project highlights the feasibility of creating public, locally led resources for under-served languages. Kencorpus links corpus development to AI data production by enabling downstream NLP applications and supporting multilingual access in Kenyan research and education.",
"Weidinger et al., 2022","Weidinger, L., Uesato, J., Rauh, M., Griffin, C., Huang, P.-S., Mellor, J., Glaese, A., Cheng, M., Balle, B., Kasirzadeh, A., Biles, C., Brown, S., Kenton, Z., Hawkins, W., Stepleton, T., Birhane, A., Hendricks, L. A., Rimell, L., Isaac, W., … Gabriel, I. (2022). Taxonomy of Risks posed by Language Models. 2022 ACM Conference on Fairness, Accountability, and Transparency, 214–229. https://doi.org/10.1145/3531146.3533088",Taxonomy of Risks posed by Language Models,Extractive,"""Deploying AI systems that lack local, contextual data""",Data practices,Deployment & Impact,Product Launch,Era 3,ADC,A: system-level taxonomy of risks; D: none; C: identifies societal harms and mitigation needs,"White (published journal papers, conference proceedings, books)",Hand-searching key journals,"global, risks, LLMs, causal mechanism",Not regionally specific,Mixed,EU/UK,"DeepMind, United Kingdom","Caltech, USA; University of Toronto, Canada; University College Dublin, Ireland","Develops a taxonomy of 21 risks associated with large language models, spanning discrimination, misinformation, malicious use, HCI harms, and environmental costs. Draws from computer science, linguistics, and social science. Discusses observed and anticipated risks, linking harms to causal mechanisms and offering mitigation strategies. Highlights organizational responsibility for risk evaluation. Provides a structured framework to anticipate and address LM risks at launch and deployment.",
"Weinberg, 2022","Weinberg, L. (2022). Rethinking Fairness: An Interdisciplinary Survey of Critiques of Hegemonic ML Fairness Approaches. J. Artif. Int. Res., 74. https://doi.org/10.1613/jair.1.13196",Rethinking Fairness: An Interdisciplinary Survey of Critiques of Hegemonic ML Fairness Approaches,Extractive,"Soliciting data without reciprocal benefits, Biased pre-processing and category erasure",Data practices,Problem Understanding & Formulation,Product Conception & Design,Era 3,AC,A: surveys interdisciplinary critiques of ML fairness approaches; D: identifies biases in data/problem formulation; C: shows marginalization via fairness framings,"White (published journal papers, conference proceedings, books)",Database search,"fairness, hegemonic ML, tech solutionism",Not regionally specific,Academic,North America,"Purdue University, USA",,"Synthesizes critiques of ML fairness interventions across philosophy, STS, law, feminist, and race studies. Identifies nine critique clusters, including problem framing, abstraction, racial classification, ethics washing, and exclusion from participation. Highlights how fairness methods entrench bias, predatory inclusion, and lack long-term accountability. Concludes with directions for fairness research that disrupt entrenched structural injustices and support more democratic and inclusive AI practices.",
